"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"C19","C_1206_3216Metric",1,"10uF",
2,"U10","ILV2-5_7",1,"IVL2-7_5",
3,"REF**,REF**,REF**,REF**","Strap_Holes",4,"Strap_Holes",
4,"U6","ESP32-WROOM",1,"ESP32-WROOM",
5,"U8,U9","SOP-18_7.0x12.5mm_P1.27mm",2,"TBD62783A",
6,"U4","SSOP-20_3.9x8.7mm_P0.635mm",1,"FT231XS",
7,"J2","PinHeader_1x04_P1.27mm_Vertical",1,"I2C_Con",
8,"U7","SSOP-28_5.3x10.2mm_P0.65mm",1,"MCP23017_SS",
9,"R5,R6,R9,R12,R13,R14,R15,R16,R17","R_0805_2012Metric",9,"10k",
10,"REF**,REF**,REF**,REF**","Wire_Holes",4,"Wire_Holes",
11,"U1","SOT-23-5",1,"MIC5219-3.3YM5",
12,"L2,L1","L_Taiyo-Yuden_MD-5050",2,"10uH",
13,"BT1","BK-92",1,"AA BK-92",
14,"C1,C2,C5,C6,C8,C11,C12,C14,C15,C16,C17","C_0805_2012Metric",11,"4.7uF",
15,"C3,C4","C_0805_2012Metric",2,"47pF",
16,"C9,C10,C18","C_0805_2012Metric",3,"100nF",
17,"C13","C_0805_2012Metric",1,"1uF",
18,"D1","D_SOD-323",1,"D_Schottky 40V 1A",
19,"J1","USB_Micro-B_Molex_47346-0001",1,"USB_B_Micro",
20,"Q1","SOT-363_SC-70-6",1,"MBT3904DW1",
21,"R1,R2","R_1206_3216Metric",2,"0R",
22,"R3,R4","R_0805_2012Metric",2,"27",
23,"R7","R_0805_2012Metric",1,"1M",
24,"R8","R_0805_2012Metric",1,"640k",
25,"R10","R_0805_2012Metric",1,"1.05M",
26,"R11","R_0805_2012Metric",1,"56k",
27,"SW1","SW_SPST_EVQP7A",1,"B1",
28,"SW2","SW_SPST_EVQP7A",1,"B2",
29,"SW3","SW_SPST_EVQP7A",1,"B_RES",
30,"SW4","SW_SPST_EVQP7A",1,"B_0",
31,"U2","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",1,"DRV8837C",
32,"U3","TSOT-23-6",1,"MP3120",
33,"U5","TSOT-23-5",1,"MCP1663",
34,"C7","C_0805_2012Metric",1,"470pF",
